Sample Locations,Natural/Field Moisture Content (%),Specific Gravity Test,D10 (mm),D30 (mm),D60 (mm),Cu,Cc,L.L %,P.L %,P.I %,OMC (%),MDD (g/cm3),"Cohesion, C (kN/m2)","Frictional Angle, Ø(0)",Depth (m),California Bearing Ratio,Shear Strength (kN/m2),Allow. Bearing Pressure (kN/m2),Classification
SYN_1,4.992300620126175,2.575734713623504,0.2542811031381147,0.8413611980694533,1.5908081831717662,6.256100683611187,1.7499798798416752,32.025278688276615,25.507839515090623,6.517439173185991,6.280162961968909,2.5555893215131853,45.177903557615764,18.90234014421038,1.4820249765854636,68.13094194911488,58.77,203.11,Well-graded sand (SW)
SYN_2,3.6442266497281763,2.422248859772459,0.22839552595362428,0.3,0.85,3.721614057241176,0.4635920624937105,22.009926691325735,12.556993436790126,9.452933254535608,6.234480873612281,2.0822986345069086,32.0,12.49880809432533,2.8466846432334645,70.24835421805409,117.94248024837921,208.97887996847265,Poorly graded sand (SP)
SYN_3,3.594047466253567,2.85,0.20295218873084203,0.3,2.7830653546340036,13.71291126268632,0.2,28.839926758269236,16.179571483499274,12.660355274769962,4.11,2.1962666429090723,58.75089969042746,19.386545760667335,0.7,62.46896306404825,183.76188799538187,203.11,Poorly graded sand (SP)
SYN_4,3.4436622298702324,2.5191582237875156,0.2860660989956306,0.5708211057170852,0.85,2.9713412493976885,1.340030630420027,36.52587748152471,22.8800384785241,13.64583900300061,5.261102278004982,2.0405266171484238,37.220967926740535,22.680093784265186,1.9301882783865048,59.404300128416445,322.71737087814347,219.80134069398375,Poorly graded sand (SP)
SYN_5,3.7500271093519415,2.567416981831507,0.13,0.3,2.771760962731427,21.32123817485713,0.24977178826613491,21.081711476157317,12.36,8.721711476157317,7.482761337574697,2.1226180468557034,87.86695772044281,27.868152897271237,2.758846692330022,63.73277323688256,593.7386453014406,203.11,Poorly graded sand (SP)
SYN_6,5.406254591396669,2.615276698476337,0.18078757837537746,0.5130486056404912,0.85,4.701650454297841,1.7128901424796088,19.57634555836864,13.254861537030866,6.321484021337774,7.930905354662738,2.2351393758896996,74.6020997172185,16.714670924380847,1.4936381441109514,69.50505287316929,133.51722132648257,215.85340137581105,Poorly graded sand (SP)
SYN_7,4.483576496222179,2.7699965059190377,0.14949848894162188,0.41683900455675793,1.4125901244577534,9.44885887782692,0.8227800095176152,24.864457751744744,21.414457751744745,3.4499999999999993,6.235130698041717,2.2191464346108853,46.13840064217387,21.267371891284057,0.7,58.87386720071885,73.6346961166256,210.0925893855625,Poorly graded sand (SP)
SYN_8,4.87434332156138,2.85,0.21755275645044614,0.5510783645426156,1.771003765630352,8.140571484938867,0.7882112820125169,25.25353982152719,14.826309882405493,10.427229939121698,6.119449302970517,2.1345477307506373,54.3604863140888,33.0,0.7,45.79654617495159,501.04831370332795,217.89165093157007,Poorly graded sand (SP)
SYN_9,5.3669573971725,2.4404031493967,0.3129011790089344,0.3,2.5171422476307317,8.044527846150617,0.2,22.386854273282957,18.936854273282957,3.4499999999999993,5.72974149984478,1.885,56.56069355283211,26.13464344625509,3.3,47.480750315847374,353.9925494449022,203.6179423916531,Poorly graded sand (SP)
SYN_10,5.8,2.4625396050688377,0.17899784640215816,0.6786091780897133,0.85,4.7486604843853115,3.026723346570708,29.420622549329078,16.53867017996548,12.8819523693636,4.11,2.484249153835722,32.0,19.7429125383439,1.8526144282825052,43.39346528154832,364.61672187824263,214.00630552273446,Poorly graded sand (SP)
